Year,Candidate_ID,Name,State,Category,Total_Score,Percentile,AIR (All India Rank),State_Rank,Category_Rank,Qualified_Status,Cutoff_Score
2020,NEET888472,Candidate_1262,West Bengal,ST,280,38.89,195649,3042,3728,Yes,110
2020,NEET266981,Candidate_6323,West Bengal,SC,341,47.36,158675,1004,4759,Yes,128
2022,NEET589900,Candidate_2705,Delhi,SC,467,64.86,21277,4029,7659,Yes,119
2017,NEET932175,Candidate_3326,Karnataka,SC,405,56.25,107388,245,1655,Yes,131
2024,NEET144124,Candidate_9072,Karnataka,OBC,644,89.44,153238,1291,4425,Yes,145
2017,NEET536935,Candidate_5364,Uttar Pradesh,ST,260,36.11,25641,4426,8186,Yes,119
2016,NEET170688,Candidate_3955,West Bengal,General,232,32.22,161710,3108,5868,Yes,144
2018,NEET638683,Candidate_2562,Maharashtra,SC,397,55.14,29625,1922,894,Yes,113
2017,NEET511683,Candidate_8511,Delhi,SC,444,61.67,182752,4428,954,Yes,118
2023,NEET469377,Candidate_6997,Maharashtra,OBC,555,77.08,96481,766,7013,Yes,144
2016,NEET575722,Candidate_2215,Tamil Nadu,SC,259,35.97,32710,2118,16,Yes,133
2019,NEET553865,Candidate_3691,Uttar Pradesh,General,594,82.5,116804,3004,8281,Yes,143
2020,NEET626771,Candidate_2297,Karnataka,OBC,397,55.14,57257,3971,1316,Yes,148
2017,NEET185311,Candidate_3265,Karnataka,SC,476,66.11,193318,2673,6118,Yes,126
2016,NEET218633,Candidate_6258,Delhi,General,560,77.78,67862,2344,2120,Yes,143
2018,NEET508762,Candidate_8074,Tamil Nadu,SC,312,43.33,95768,3464,4547,Yes,100
2019,NEET324021,Candidate_5879,Karnataka,General,710,98.61,136291,182,8902,Yes,142
2021,NEET737013,Candidate_3397,Delhi,OBC,280,38.89,160567,1175,6387,Yes,144
2019,NEET922713,Candidate_3872,Tamil Nadu,ST,543,75.42,166168,2118,4264,Yes,134
2020,NEET502915,Candidate_1889,Delhi,SC,445,61.81,136003,2976,8744,Yes,136
2024,NEET887299,Candidate_1870,Maharashtra,EWS,663,92.08,125824,546,3908,Yes,140
2022,NEET452639,Candidate_3688,Karnataka,OBC,458,63.61,9653,2255,7401,Yes,144
2017,NEET585739,Candidate_2979,Tamil Nadu,OBC,274,38.06,1299,1798,5723,Yes,150
2023,NEET557301,Candidate_1559,Uttar Pradesh,ST,601,83.47,184800,1468,7033,Yes,116
2020,NEET976414,Candidate_2087,West Bengal,ST,369,51.25,11842,2443,4630,Yes,138
2018,NEET626737,Candidate_2450,Tamil Nadu,ST,184,25.56,162682,1226,4601,Yes,110
2020,NEET126465,Candidate_5990,Tamil Nadu,ST,213,29.58,58587,2435,9974,Yes,123
2020,NEET460654,Candidate_5377,Maharashtra,General,265,36.81,138869,3165,1320,Yes,141
2015,NEET906393,Candidate_2765,Maharashtra,General,254,35.28,52777,1387,4071,Yes,148
2015,NEET662838,Candidate_3363,Tamil Nadu,ST,364,50.56,77713,605,7229,Yes,127
2018,NEET746424,Candidate_3760,Tamil Nadu,EWS,366,50.83,121156,1575,2085,Yes,144
2021,NEET954439,Candidate_5165,Karnataka,EWS,625,86.81,4864,2547,649,Yes,144
2017,NEET255153,Candidate_8248,Maharashtra,SC,249,34.58,84305,3853,1043,Yes,119
2020,NEET432661,Candidate_1714,Karnataka,SC,605,84.03,195193,3534,4237,Yes,111
2020,NEET570725,Candidate_8383,West Bengal,ST,423,58.75,54471,2626,8814,Yes,130
2021,NEET963771,Candidate_3519,Uttar Pradesh,General,415,57.64,87496,4141,9682,Yes,145
2022,NEET668520,Candidate_9830,Maharashtra,SC,685,95.14,30608,141,4190,Yes,121
2018,NEET834372,Candidate_1357,Karnataka,General,305,42.36,128999,1790,2625,Yes,148
2023,NEET248016,Candidate_8979,Maharashtra,EWS,490,68.06,71897,3742,2180,Yes,141
2023,NEET585602,Candidate_7012,Tamil Nadu,OBC,165,22.92,23954,2526,8131,Yes,141
2015,NEET352008,Candidate_9791,Uttar Pradesh,SC,344,47.78,14969,2962,6854,Yes,118
2021,NEET268660,Candidate_3368,West Bengal,SC,220,30.56,61228,2501,7719,Yes,129
2017,NEET164661,Candidate_7980,Delhi,General,115,15.97,190017,4150,8986,No,150
2021,NEET524918,Candidate_9706,Tamil Nadu,EWS,570,79.17,84094,2764,8454,Yes,150
2020,NEET355782,Candidate_7185,Delhi,OBC,604,83.89,140334,4330,8461,Yes,144
2020,NEET607842,Candidate_9187,West Bengal,General,453,62.92,108152,806,5962,Yes,139
2017,NEET194898,Candidate_6916,West Bengal,ST,642,89.17,25769,630,8952,Yes,140
2023,NEET587238,Candidate_6349,West Bengal,EWS,260,36.11,47826,82,6306,Yes,141
2019,NEET783299,Candidate_9393,West Bengal,General,293,40.69,94404,72,3506,Yes,148
2017,NEET199457,Candidate_6333,Karnataka,ST,639,88.75,63355,2540,3999,Yes,120
2016,NEET465636,Candidate_4476,West Bengal,ST,269,37.36,9129,1601,5408,Yes,130
2024,NEET332590,Candidate_2436,Uttar Pradesh,EWS,201,27.92,16481,3321,4326,Yes,140
2024,NEET929092,Candidate_2022,Tamil Nadu,OBC,167,23.19,136332,3164,2783,Yes,138
2023,NEET785549,Candidate_8483,Uttar Pradesh,OBC,576,80.0,177363,2973,6960,Yes,140
2023,NEET706040,Candidate_2143,Delhi,OBC,634,88.06,90917,1583,2532,Yes,138
2019,NEET717508,Candidate_3325,Maharashtra,General,548,76.11,198232,2726,3363,Yes,149
2016,NEET318944,Candidate_4106,Uttar Pradesh,OBC,703,97.64,27680,4837,960,Yes,148
2020,NEET582410,Candidate_3780,Maharashtra,ST,359,49.86,129400,3476,1387,Yes,115
2016,NEET198611,Candidate_5839,Uttar Pradesh,General,344,47.78,86978,4642,1451,Yes,141
2017,NEET176200,Candidate_3679,Maharashtra,SC,518,71.94,167008,1933,1722,Yes,120
2016,NEET846323,Candidate_4669,Uttar Pradesh,ST,284,39.44,22477,453,4877,Yes,103
2018,NEET990190,Candidate_8371,Maharashtra,OBC,540,75.0,177870,2148,9000,Yes,142
2016,NEET711897,Candidate_9609,Uttar Pradesh,ST,473,65.69,59558,74,1792,Yes,115
2018,NEET349583,Candidate_3228,Tamil Nadu,General,603,83.75,151952,2235,3742,Yes,149
2021,NEET313557,Candidate_3106,Karnataka,EWS,401,55.69,5778,1581,6171,Yes,144
2017,NEET645098,Candidate_9408,Tamil Nadu,SC,448,62.22,87036,1101,7261,Yes,121
2023,NEET614709,Candidate_6985,Maharashtra,SC,533,74.03,49683,150,9745,Yes,134
2019,NEET876683,Candidate_1871,Maharashtra,ST,385,53.47,129448,1261,4673,Yes,131
2021,NEET829143,Candidate_7860,Uttar Pradesh,EWS,357,49.58,15667,4161,851,Yes,149
2017,NEET676909,Candidate_4060,Maharashtra,OBC,298,41.39,68968,173,3736,Yes,147
2021,NEET211018,Candidate_1475,Delhi,ST,434,60.28,12558,2685,6579,Yes,114
2023,NEET551535,Candidate_2727,Delhi,General,204,28.33,40846,4124,2898,Yes,148
2022,NEET314985,Candidate_5495,Maharashtra,ST,459,63.75,168665,3562,580,Yes,124
2020,NEET836986,Candidate_1579,Uttar Pradesh,SC,260,36.11,110151,3362,4400,Yes,132
2019,NEET383238,Candidate_9189,Maharashtra,SC,337,46.81,137810,3186,2692,Yes,135
2020,NEET282294,Candidate_9734,Delhi,SC,152,21.11,51840,3623,3558,Yes,125
2016,NEET799374,Candidate_8380,West Bengal,EWS,283,39.31,287,1730,4912,Yes,150
2020,NEET749301,Candidate_2329,Maharashtra,SC,442,61.39,101391,4094,5287,Yes,108
2023,NEET336383,Candidate_7571,Uttar Pradesh,ST,102,14.17,183694,3560,5802,No,115
2022,NEET814699,Candidate_4847,Delhi,EWS,488,67.78,176158,2831,1204,Yes,138
2017,NEET173171,Candidate_8914,Maharashtra,OBC,658,91.39,114685,3240,7351,Yes,148
2015,NEET334486,Candidate_1470,Delhi,ST,680,94.44,172763,456,9028,Yes,131
2021,NEET949894,Candidate_4079,West Bengal,SC,470,65.28,117170,1812,7151,Yes,114
2024,NEET706831,Candidate_5879,Karnataka,SC,460,63.89,58281,3567,4605,Yes,132
2015,NEET841768,Candidate_2589,Tamil Nadu,SC,156,21.67,137314,394,7901,Yes,130
2021,NEET159132,Candidate_7014,Delhi,ST,245,34.03,22895,540,275,Yes,113
2015,NEET941512,Candidate_1867,Maharashtra,General,225,31.25,51438,2354,7283,Yes,148
2017,NEET208010,Candidate_7077,Tamil Nadu,SC,308,42.78,16714,877,7296,Yes,132
2020,NEET881957,Candidate_9892,Maharashtra,SC,106,14.72,178181,2194,2223,No,137
2019,NEET666047,Candidate_7343,Karnataka,General,678,94.17,160088,2753,325,Yes,143
2024,NEET878814,Candidate_6845,Tamil Nadu,OBC,370,51.39,60998,3638,5802,Yes,145
2016,NEET441930,Candidate_4043,Delhi,EWS,465,64.58,194568,1162,9138,Yes,139
2021,NEET931940,Candidate_1009,Maharashtra,OBC,652,90.56,161353,2418,9400,Yes,148
2015,NEET375418,Candidate_3592,West Bengal,EWS,394,54.72,1278,751,8070,Yes,141
2017,NEET579027,Candidate_6801,Karnataka,OBC,341,47.36,82555,1896,1116,Yes,148
2016,NEET967673,Candidate_1829,Maharashtra,SC,525,72.92,197969,4744,5577,Yes,100
2019,NEET388199,Candidate_1864,Karnataka,ST,693,96.25,75971,3531,5642,Yes,103
2024,NEET804069,Candidate_7266,Uttar Pradesh,General,342,47.5,89373,1080,7338,Yes,138
2015,NEET791017,Candidate_5800,West Bengal,EWS,160,22.22,42522,2597,6138,Yes,148
2021,NEET261061,Candidate_3442,Delhi,OBC,327,45.42,11834,4265,1283,Yes,145
2021,NEET745070,Candidate_7702,Uttar Pradesh,OBC,671,93.19,20129,3706,2686,Yes,150
2017,NEET891372,Candidate_1602,Uttar Pradesh,SC,601,83.47,78715,1399,7918,Yes,126
2018,NEET652530,Candidate_7610,Delhi,General,388,53.89,62921,1491,6086,Yes,147
2020,NEET231151,Candidate_5039,Tamil Nadu,EWS,315,43.75,37117,2086,9847,Yes,146
2017,NEET557672,Candidate_4487,Delhi,EWS,704,97.78,69734,1956,6655,Yes,147
2015,NEET268031,Candidate_3508,Uttar Pradesh,EWS,491,68.19,105472,3504,7922,Yes,150
2022,NEET538411,Candidate_6607,West Bengal,ST,353,49.03,66568,3321,8919,Yes,122
2022,NEET107761,Candidate_2857,Tamil Nadu,General,709,98.47,50758,4843,9515,Yes,150
2023,NEET831542,Candidate_6106,Tamil Nadu,SC,679,94.31,193597,3383,5417,Yes,136
2016,NEET230610,Candidate_2830,Tamil Nadu,ST,720,100.0,2053,1384,9443,Yes,133
2022,NEET200579,Candidate_8459,Maharashtra,ST,253,35.14,22692,2973,9584,Yes,112
2022,NEET242715,Candidate_4997,Maharashtra,EWS,490,68.06,192232,4235,7358,Yes,141
2020,NEET298764,Candidate_8481,West Bengal,EWS,329,45.69,78094,1317,2747,Yes,141
2018,NEET511746,Candidate_7121,West Bengal,EWS,476,66.11,58271,326,6477,Yes,143
2024,NEET335889,Candidate_1043,Uttar Pradesh,OBC,438,60.83,28346,1147,1595,Yes,148
2023,NEET907396,Candidate_5852,Maharashtra,ST,378,52.5,150861,3455,6194,Yes,105
2016,NEET111131,Candidate_5004,Uttar Pradesh,OBC,552,76.67,55208,4324,9695,Yes,149
2018,NEET854111,Candidate_5633,Karnataka,SC,710,98.61,444,521,6943,Yes,119
2015,NEET138079,Candidate_5795,Karnataka,ST,417,57.92,75508,1342,3599,Yes,100
2024,NEET407706,Candidate_1574,Maharashtra,SC,435,60.42,165293,4928,4817,Yes,126
2015,NEET663765,Candidate_1151,Uttar Pradesh,ST,112,15.56,159950,3705,2943,No,110
2018,NEET285381,Candidate_1579,Delhi,SC,559,77.64,102728,2189,5822,Yes,119
2019,NEET249134,Candidate_9133,Delhi,EWS,322,44.72,175346,2721,3556,Yes,140
2016,NEET317422,Candidate_9200,Uttar Pradesh,General,110,15.28,101657,303,7582,No,143
2016,NEET129317,Candidate_8431,Delhi,SC,521,72.36,166030,2862,437,Yes,104
2023,NEET921669,Candidate_8179,Karnataka,General,541,75.14,124171,1159,854,Yes,143
2018,NEET713423,Candidate_9367,Maharashtra,EWS,715,99.31,148816,4678,7274,Yes,140
2017,NEET635519,Candidate_7803,West Bengal,General,284,39.44,191805,937,6251,Yes,148
2020,NEET648318,Candidate_9551,Karnataka,ST,708,98.33,159596,3201,1016,Yes,133
2024,NEET661635,Candidate_5771,Tamil Nadu,General,576,80.0,182799,735,5646,Yes,140
2020,NEET551779,Candidate_8395,Tamil Nadu,SC,368,51.11,160007,460,2935,Yes,113
2018,NEET645203,Candidate_2103,West Bengal,SC,230,31.94,135118,1287,3730,Yes,117
2024,NEET860346,Candidate_1318,Karnataka,OBC,237,32.92,164545,2746,4172,Yes,143
2018,NEET995592,Candidate_6024,Uttar Pradesh,ST,215,29.86,89285,481,7699,Yes,120
2022,NEET871681,Candidate_2227,Karnataka,General,145,20.14,189473,4786,6557,Yes,146
2019,NEET486475,Candidate_7031,West Bengal,EWS,378,52.5,52308,1266,4011,Yes,144
2019,NEET629950,Candidate_5264,Delhi,ST,310,43.06,24114,4455,6663,Yes,107
2020,NEET405248,Candidate_9342,Tamil Nadu,EWS,297,41.25,128547,3392,9987,Yes,144
2016,NEET189410,Candidate_9651,Delhi,SC,262,36.39,183305,444,916,Yes,134
2018,NEET125247,Candidate_5110,Delhi,OBC,108,15.0,150946,2676,2172,No,147
2023,NEET566988,Candidate_8687,Karnataka,ST,400,55.56,51224,730,4039,Yes,119
2015,NEET665643,Candidate_6487,Tamil Nadu,ST,499,69.31,107718,776,7059,Yes,111
2023,NEET301849,Candidate_5284,West Bengal,SC,657,91.25,44773,3343,8015,Yes,104
2022,NEET539514,Candidate_1812,Maharashtra,SC,519,72.08,152332,1185,8229,Yes,119
2017,NEET154904,Candidate_5386,Karnataka,General,444,61.67,120361,3930,4787,Yes,149
2017,NEET529346,Candidate_5593,West Bengal,EWS,322,44.72,126393,4611,4668,Yes,140
2020,NEET711067,Candidate_9971,Delhi,SC,664,92.22,84098,3391,4290,Yes,125
2019,NEET152328,Candidate_2051,Tamil Nadu,SC,572,79.44,106866,585,192,Yes,101
2018,NEET391060,Candidate_1707,Tamil Nadu,OBC,266,36.94,83329,3459,6896,Yes,145
2015,NEET987873,Candidate_9997,Tamil Nadu,General,321,44.58,36956,2820,4836,Yes,140
2017,NEET548138,Candidate_8616,Uttar Pradesh,EWS,334,46.39,22230,3797,9759,Yes,142
2024,NEET930474,Candidate_9558,Maharashtra,EWS,367,50.97,90910,2163,3462,Yes,147
2015,NEET144628,Candidate_2855,Karnataka,EWS,407,56.53,139280,3370,6367,Yes,149
2021,NEET890649,Candidate_5752,Uttar Pradesh,EWS,353,49.03,46982,3096,5870,Yes,140
2022,NEET489016,Candidate_9808,Delhi,ST,581,80.69,61978,344,753,Yes,101
2024,NEET667669,Candidate_7173,West Bengal,General,665,92.36,135383,3784,3484,Yes,145
2017,NEET627390,Candidate_9330,Tamil Nadu,SC,611,84.86,87099,1221,4375,Yes,110
2021,NEET860428,Candidate_3450,Maharashtra,General,233,32.36,147994,1797,3735,Yes,142
2022,NEET470858,Candidate_1621,Karnataka,ST,692,96.11,60120,4796,1162,Yes,101
2017,NEET732384,Candidate_7861,Uttar Pradesh,OBC,240,33.33,30037,3115,2677,Yes,141
2023,NEET931417,Candidate_2471,Delhi,ST,630,87.5,111311,3445,8253,Yes,131
2024,NEET319875,Candidate_2353,West Bengal,SC,275,38.19,129430,3591,5154,Yes,124
2016,NEET752019,Candidate_1456,Uttar Pradesh,SC,477,66.25,80548,2175,3379,Yes,111
2016,NEET751076,Candidate_8220,Uttar Pradesh,General,395,54.86,168986,4477,9137,Yes,149
2015,NEET436153,Candidate_3908,West Bengal,General,699,97.08,100011,2402,3504,Yes,147
2017,NEET553821,Candidate_4028,Maharashtra,General,389,54.03,161131,932,7945,Yes,141
2022,NEET311949,Candidate_7159,West Bengal,EWS,316,43.89,177939,4651,8155,Yes,149
2019,NEET126757,Candidate_4122,Delhi,General,709,98.47,174961,192,5436,Yes,144
2019,NEET690092,Candidate_9989,Uttar Pradesh,EWS,541,75.14,36214,4198,3640,Yes,146
2021,NEET632242,Candidate_9398,Uttar Pradesh,OBC,534,74.17,186791,3752,1542,Yes,138
2020,NEET670889,Candidate_6048,Delhi,General,314,43.61,100134,750,8512,Yes,141
2018,NEET874845,Candidate_9472,Tamil Nadu,General,331,45.97,69356,1601,8069,Yes,144
2016,NEET863934,Candidate_7833,Maharashtra,EWS,111,15.42,137970,300,5827,No,138
2019,NEET911617,Candidate_5566,Tamil Nadu,OBC,475,65.97,18282,2151,4773,Yes,144
2024,NEET629764,Candidate_4522,Maharashtra,SC,236,32.78,4027,4911,8327,Yes,106
2017,NEET738574,Candidate_7130,Maharashtra,ST,191,26.53,5092,2186,1807,Yes,103
2020,NEET674427,Candidate_7471,Karnataka,OBC,293,40.69,78300,2203,8922,Yes,138
2022,NEET776377,Candidate_8513,Karnataka,OBC,375,52.08,49325,3636,3920,Yes,142
2022,NEET921086,Candidate_3770,Uttar Pradesh,General,537,74.58,175529,1490,7637,Yes,140
2016,NEET401624,Candidate_8380,Maharashtra,EWS,313,43.47,40152,3745,443,Yes,146
2022,NEET803011,Candidate_7777,Uttar Pradesh,EWS,358,49.72,146650,1419,5081,Yes,139
2024,NEET958101,Candidate_7041,Maharashtra,EWS,315,43.75,19754,3545,569,Yes,146
2019,NEET963818,Candidate_9258,Maharashtra,EWS,195,27.08,33725,1163,3590,Yes,139
2019,NEET233986,Candidate_4649,Maharashtra,OBC,596,82.78,122275,3410,6542,Yes,149
2022,NEET706501,Candidate_2406,Delhi,ST,627,87.08,81140,1530,8853,Yes,110
2020,NEET873501,Candidate_6198,Maharashtra,OBC,510,70.83,107226,1517,756,Yes,139
2021,NEET619323,Candidate_8401,Karnataka,OBC,487,67.64,188378,832,6990,Yes,140
2016,NEET316141,Candidate_5998,Tamil Nadu,SC,699,97.08,33838,2435,898,Yes,132
2018,NEET132432,Candidate_6654,West Bengal,OBC,304,42.22,151822,3789,9718,Yes,146
2024,NEET829211,Candidate_3891,Uttar Pradesh,ST,523,72.64,61714,2952,3038,Yes,114
2022,NEET667697,Candidate_5651,Tamil Nadu,SC,661,91.81,97211,4823,4326,Yes,109
2023,NEET452139,Candidate_3460,Karnataka,ST,147,20.42,85900,3448,9455,Yes,132
2022,NEET271988,Candidate_5537,Maharashtra,OBC,139,19.31,111287,4103,2580,Yes,148
2019,NEET921619,Candidate_6409,Uttar Pradesh,ST,671,93.19,182599,893,4030,Yes,123
2016,NEET523056,Candidate_3107,Maharashtra,General,597,82.92,44039,478,2650,Yes,144
2017,NEET625457,Candidate_9426,Uttar Pradesh,ST,199,27.64,30619,912,6862,Yes,115
2023,NEET631934,Candidate_1341,Delhi,General,481,66.81,59567,3011,9693,Yes,145
2016,NEET121343,Candidate_4364,West Bengal,SC,659,91.53,157023,4146,831,Yes,117
2023,NEET242949,Candidate_4693,Maharashtra,SC,522,72.5,124945,1856,8387,Yes,110
2024,NEET429402,Candidate_8648,Uttar Pradesh,EWS,312,43.33,91071,594,3355,Yes,141
2016,NEET312244,Candidate_4885,Delhi,EWS,181,25.14,187438,3268,5447,Yes,141
2018,NEET335950,Candidate_4262,Maharashtra,ST,702,97.5,61851,1380,6559,Yes,126
2016,NEET994891,Candidate_1492,Tamil Nadu,SC,639,88.75,144727,2083,4396,Yes,117
2024,NEET848051,Candidate_1252,West Bengal,General,359,49.86,156399,3345,4525,Yes,143
2021,NEET599869,Candidate_4609,Tamil Nadu,EWS,536,74.44,102782,3935,5494,Yes,150
2022,NEET548691,Candidate_2836,Tamil Nadu,SC,516,71.67,61928,1699,7501,Yes,134
2018,NEET244165,Candidate_6370,Maharashtra,OBC,370,51.39,23755,1048,6180,Yes,146
2015,NEET811187,Candidate_4091,Tamil Nadu,OBC,331,45.97,26901,4357,7643,Yes,141
2021,NEET477143,Candidate_2833,West Bengal,OBC,555,77.08,674,2264,2531,Yes,148
2024,NEET735304,Candidate_7981,Uttar Pradesh,SC,102,14.17,23238,2849,9354,No,113
2020,NEET341649,Candidate_8487,West Bengal,SC,336,46.67,149326,1230,4258,Yes,136
2016,NEET181124,Candidate_4336,Tamil Nadu,SC,367,50.97,133640,1013,5140,Yes,117
2023,NEET582530,Candidate_4230,Tamil Nadu,EWS,669,92.92,6972,4793,461,Yes,143
2023,NEET464723,Candidate_9544,Tamil Nadu,SC,175,24.31,135727,3703,9553,Yes,130
2024,NEET134217,Candidate_9070,Delhi,ST,497,69.03,163445,4912,2316,Yes,122
2017,NEET676017,Candidate_5622,Maharashtra,OBC,129,17.92,108804,577,1983,No,149
2019,NEET251054,Candidate_6206,West Bengal,OBC,214,29.72,60005,3294,2461,Yes,147
2018,NEET666014,Candidate_9730,Karnataka,General,662,91.94,32826,1171,9612,Yes,147
2023,NEET604320,Candidate_4020,Tamil Nadu,ST,476,66.11,135011,1753,5279,Yes,130
2015,NEET651560,Candidate_6350,Maharashtra,OBC,155,21.53,139515,1429,3105,Yes,141
2021,NEET360908,Candidate_2659,Maharashtra,ST,595,82.64,111572,2805,9662,Yes,107
2015,NEET797165,Candidate_2715,Delhi,ST,600,83.33,169300,145,1854,Yes,120
2019,NEET675940,Candidate_1556,Uttar Pradesh,OBC,471,65.42,68251,624,4947,Yes,147
2018,NEET673990,Candidate_8268,Delhi,General,710,98.61,107828,4685,169,Yes,144
2024,NEET618182,Candidate_7577,Tamil Nadu,OBC,455,63.19,110753,4499,4512,Yes,149
2022,NEET932631,Candidate_9026,Karnataka,OBC,314,43.61,20493,4442,2694,Yes,138
2022,NEET900940,Candidate_4260,Uttar Pradesh,EWS,636,88.33,50788,1897,3484,Yes,140
2021,NEET549091,Candidate_2378,Uttar Pradesh,SC,426,59.17,175660,4076,230,Yes,112
2021,NEET537956,Candidate_2411,Delhi,OBC,243,33.75,2186,4129,3854,Yes,139
2024,NEET695806,Candidate_4357,Maharashtra,SC,370,51.39,1823,575,8461,Yes,128
2018,NEET488879,Candidate_7177,Delhi,General,184,25.56,103582,2628,5097,Yes,142
2018,NEET909386,Candidate_3001,West Bengal,ST,481,66.81,160756,2767,9387,Yes,140
2021,NEET611857,Candidate_4986,Maharashtra,OBC,318,44.17,81571,1921,4889,Yes,148
2015,NEET998597,Candidate_1128,Maharashtra,General,645,89.58,99093,1920,2430,Yes,140
2017,NEET444456,Candidate_2868,Karnataka,EWS,150,20.83,91359,176,75,Yes,149
2023,NEET524946,Candidate_5235,Karnataka,SC,435,60.42,143816,547,7006,Yes,116
2015,NEET305485,Candidate_9109,Delhi,ST,154,21.39,72538,740,7196,Yes,127
2022,NEET659005,Candidate_1567,West Bengal,SC,433,60.14,186890,4345,3807,Yes,100
2017,NEET611628,Candidate_7337,West Bengal,SC,415,57.64,171840,1701,2723,Yes,118
2016,NEET151692,Candidate_7811,Maharashtra,EWS,396,55.0,174088,4022,9499,Yes,147
2022,NEET241045,Candidate_9276,Uttar Pradesh,General,675,93.75,186487,2517,553,Yes,149
2021,NEET846354,Candidate_3327,Tamil Nadu,ST,338,46.94,138975,2291,5424,Yes,125
2022,NEET852210,Candidate_3438,Delhi,EWS,294,40.83,51007,1298,64,Yes,140
2022,NEET669446,Candidate_4281,West Bengal,General,343,47.64,179152,2279,3540,Yes,145
2015,NEET267856,Candidate_2362,Karnataka,EWS,388,53.89,19320,1911,185,Yes,150
2017,NEET869022,Candidate_1023,West Bengal,EWS,601,83.47,21253,1425,6891,Yes,143
2021,NEET667846,Candidate_9954,West Bengal,SC,392,54.44,22314,4777,8370,Yes,138
2017,NEET726586,Candidate_8550,Maharashtra,EWS,497,69.03,196875,1219,3130,Yes,138
2022,NEET131185,Candidate_6560,Karnataka,OBC,250,34.72,104727,1577,2198,Yes,139
2022,NEET310078,Candidate_1972,Delhi,EWS,131,18.19,176986,4592,6037,No,149
2019,NEET810269,Candidate_8142,Tamil Nadu,OBC,483,67.08,57599,4422,3932,Yes,141
2018,NEET868125,Candidate_2523,Maharashtra,General,266,36.94,170909,4870,8439,Yes,141
2022,NEET687368,Candidate_5896,Tamil Nadu,OBC,132,18.33,4538,4966,9694,No,148
2021,NEET537700,Candidate_2117,Maharashtra,EWS,402,55.83,34803,50,1563,Yes,146
2022,NEET377763,Candidate_7652,Uttar Pradesh,SC,310,43.06,121518,4746,9679,Yes,121
2016,NEET257289,Candidate_3791,Maharashtra,General,377,52.36,54460,3912,7323,Yes,141
2016,NEET691127,Candidate_6212,Tamil Nadu,OBC,478,66.39,136145,4577,2432,Yes,138
2024,NEET839015,Candidate_4749,Uttar Pradesh,SC,241,33.47,54150,3221,4306,Yes,137
2022,NEET124805,Candidate_9506,West Bengal,General,363,50.42,1536,4263,5525,Yes,139
2017,NEET642271,Candidate_2286,West Bengal,EWS,186,25.83,110920,2300,2135,Yes,140
2017,NEET576428,Candidate_3773,Tamil Nadu,EWS,160,22.22,189004,3906,216,Yes,138
2015,NEET780794,Candidate_4493,Uttar Pradesh,General,598,83.06,1285,1255,3974,Yes,144
2018,NEET397543,Candidate_1177,Uttar Pradesh,General,340,47.22,119101,3045,1731,Yes,139
2021,NEET220192,Candidate_8615,Maharashtra,ST,608,84.44,186857,1496,3305,Yes,101
2021,NEET843753,Candidate_6798,Uttar Pradesh,ST,309,42.92,186741,1511,1220,Yes,104
2017,NEET793879,Candidate_5732,West Bengal,OBC,577,80.14,124452,3397,1472,Yes,148
2017,NEET287198,Candidate_8926,Uttar Pradesh,SC,504,70.0,24168,4606,6966,Yes,109
2017,NEET138107,Candidate_2968,West Bengal,EWS,177,24.58,51558,3742,9128,Yes,138
2017,NEET415715,Candidate_2080,Karnataka,SC,398,55.28,10950,1565,9175,Yes,119
2021,NEET534298,Candidate_2298,Karnataka,EWS,190,26.39,164291,1024,7963,Yes,141
2016,NEET248822,Candidate_8782,Delhi,OBC,344,47.78,53526,2245,9472,Yes,146
2022,NEET978020,Candidate_2437,Maharashtra,General,552,76.67,164057,3559,4024,Yes,141
2015,NEET635605,Candidate_6864,West Bengal,General,296,41.11,113333,1822,1776,Yes,140
2018,NEET713402,Candidate_7132,West Bengal,ST,693,96.25,182366,595,7094,Yes,119
2016,NEET999963,Candidate_9234,Maharashtra,OBC,388,53.89,29337,253,8467,Yes,138
2016,NEET502899,Candidate_6134,Maharashtra,SC,191,26.53,198091,2863,2213,Yes,138
2024,NEET750560,Candidate_3242,Delhi,EWS,138,19.17,70364,1708,2906,Yes,148
2020,NEET396268,Candidate_7718,Uttar Pradesh,EWS,614,85.28,179734,1898,6549,Yes,140
2021,NEET788997,Candidate_6287,Delhi,OBC,160,22.22,147216,1707,1578,Yes,147
2020,NEET114324,Candidate_7537,Maharashtra,EWS,366,50.83,48840,4584,1595,Yes,146
2020,NEET314304,Candidate_5307,West Bengal,EWS,483,67.08,104991,4971,5584,Yes,138
2021,NEET448936,Candidate_9309,West Bengal,ST,244,33.89,25111,1516,9412,Yes,137
2020,NEET361673,Candidate_1920,Tamil Nadu,ST,210,29.17,126584,4455,4374,Yes,140
2024,NEET467076,Candidate_1607,Maharashtra,General,637,88.47,122571,1099,5778,Yes,139
2016,NEET338846,Candidate_5720,Delhi,General,633,87.92,197682,2412,3891,Yes,146
2022,NEET407449,Candidate_6823,Uttar Pradesh,OBC,314,43.61,41259,4530,1571,Yes,139
2015,NEET555899,Candidate_3425,Karnataka,OBC,479,66.53,166883,3179,905,Yes,144
2015,NEET471609,Candidate_3292,Delhi,General,350,48.61,70472,1908,3959,Yes,143
2016,NEET669902,Candidate_2429,Maharashtra,ST,197,27.36,79673,2349,1139,Yes,102
